start	end	text
0	660	Muzika
660	21400	Turbulentan je kraj ove godine.
21940	25240	Napeta situacija na Kosovu i Metohiji, Republici Srpskoj,
25700	28240	blokade na svim fakultetima i veliki protesti.
28240	30500	Uvijek, najavljene američke sankcije nisu.
31000	34280	Pritom, ceo svet kao da se koleba između rata i mira
34280	38520	i kao da svi čekaju 21. januar i trenutak kada će Donald Trump
38520	41120	ponovo sesti u najbitniju stolicu na svetu.
41680	44620	O svemu tome, ali i o današnjem razgovoru sa Zelenskim,
45060	47420	nedavnim razgovorima sa Lavrovim i Putinom,
47780	50560	ovog četvrtka u devet razgovaram sa predsednikom Srbije,
50760	51640	Aleksandrom Vučićem.
52120	53740	Gospodine Vučiću, dobroveće, dobrodošli.
54100	55760	Dobroveće vama i vašim gledalcima.
55760	60260	Gospodin Vučiću, kada bi neki istraživač javnog njenja
60260	64420	pozvao građanina Aleksandra Vučića i pitao ga
64420	67660	šta je najveći trenutno problem Srbije na kraju 2024.
68320	70440	šta bi mu građanin Vučić odgovorio?
74340	80560	Rekao bih mu nešto što se tiče mene lično kao građanina,
80660	82400	kao predsednik, drugačije su stvari.
85040	85240	Imamo...
85760	89940	Velike geopolitičke probleme koje utiču na Srbiju
89940	95080	i to potpuno je normalno negde u našoj zemlji
95080	97320	kao i u svim drugim zemljama Evrope.
97440	99580	Svi misle da to bolje znaju od svog predsednika,
99980	101480	te je izlišno da o tome i govorim.
104920	108220	Ono što me brine to je moguće uvođenje sankcija.
108320	110960	Kad kažem moguće, bit će uvedane sankcije, nisu.
110960	113960	Jer mi je to zvanično potvrđeno, a ne nezvanično.
113960	114520	Nezvanično?
115320	117020	To je znači nova vest za večeras?
117080	119520	Nije, rekao sam to već da je zvanično potvrđeno,
119640	122200	samo se čeka trenutak, bit će oko 1. januara
122200	125540	i čekamo da vidimo šta će da sadrži taj dokument,
125700	127640	pošto vidi da su se hrvati pobunili,
128420	130880	jer janaf bi za dve godine prestao da postoji.
131120	132960	Janaf danas postoji, zahvaljujući Srbiji.
133840	136360	Mi smo Kristofa Rahila možda shvatili tako da
136360	139580	da nije potvrdio sankcije, nije istina ni demotova.
139580	141040	Ne može, ne može da potvrdi.
141520	143460	A onda vam je kao pametan političar,
143960	146440	trenutak govorio zašto se sve takve sankcije uvode,
146960	147860	ako ste primetili.
148000	150480	I kako nisna oružava Ukrajinu, baš ovaj naš.
150520	152040	To nije baš realno, ali
152040	156860	logično objašnjenje američke strane.
156980	159080	On je vrlo lukav i pametan političar.
160280	162780	Dakle, što se tiče drugih stvari,
163260	163880	kao problem,
167560	170360	vidim i to, hoćemo li moći da izražimo
170360	172960	s istom stopom ili većom stopom rasta sledećeg godine,
173040	173540	a nadam se.
173540	174860	Jer to je za građana najvažnije.
175280	177560	Od stopa rasta zavise plati, penzije,
178020	179500	primanja, životni standard ljudi.
180600	181860	Zato sam vam nedavno pristuo
181860	183980	i Savetu za brutodomaći proizvod.
184160	186100	Dakle, da u svim branšama počemo
186100	187500	da radimo više i ozbiljnije.
188460	190260	Kao probleme vidim nedovoljno energije
190260	195840	i kod mnogih ljudi u vlasti,
197840	199260	i kod sebe nešto manje energije
199260	200140	nego prošle godine,
200140	202640	što ću morati da ispravim u sledećoj godini,
202720	203140	da radim,
203540	206080	neki dan više nego što sam radio
206080	207060	ove godine.
208040	209240	Vidim jedan ozbiljan problem
209240	211900	u nama koji moramo da rešavamo,
212080	213400	a to je
213400	215180	princip
215180	218720	navike opstanka na vlasti,
219760	220480	manje truda,
221440	222300	manje ambicije,
222760	223360	manje snova.
225100	226500	Ne mislim da je to slučaj sa mnom.
226900	227680	Moje snovi su
227680	229800	uvek
229800	232700	na svakoj lestvici visoko postavljeni.
233540	234540	Moje nade,
234540	235580	borba takođe,
235580	237580	nisam siguran da je to kod svih slučaje.
238180	240180	Vezano za to imamo i problem korupcije
240180	242980	i ja želim večeras da vam saopštim i to je vest,
242980	244080	a vidjet ćete
244080	246080	da li će biti istinito ili ne.
246840	249680	Jer koliko god puta sam govorio o to i pre dva meseca,
249680	251680	pre mesec i pol dana,
251680	253680	shvatio sam da
255680	257180	je ljudima ušlo na jedno uho,
257180	258180	a na drugo izašlo.
258180	260180	Govorimo o ljudima iz vlasti.
260180	262180	Sada ćemo to da preuzmemo
262180	263380	kroz posao,
263380	265380	posebne mehanizme
265380	267380	i do 31. marta
267380	269380	građani Srbije vidjet će najžešću
269380	271380	borbu protiv korupcije,
271380	273380	protiv ljudi koji su
273380	275380	direktno ili indirektno u vlast.
